country_code|row_id|country_code|year|agricultural_land_area|forest_area|total_land_area|fertility_rate|life_expectancy|total_population|urban_population|population_growth|avg_value_of_food_production|cereal_import_dependency_ratio|food_imports_as_share_of_merch_exports|gross_domestic_product_per_capita_ppp|imports_of_goods_and_services|net_oda_received_percent_gni|net_oda_received_per_capita|trade_in_services|per_capita_food_production_variability|per_capita_food_supply_variability|avg_supply_of_protein_of_animal_origin|caloric_energy_from_cereals_roots_tubers|access_to_improved_sanitation|access_to_improved_water_sources|obesity_prevalence|access_to_electricity|co2_emissions
04952a0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
0593aa0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
066b021|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|12.5|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
07f62b0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
07f8d11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
0845041|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6.7|13.3|13.3|0.0|0.0|0.0|0.0|0.0|0.0|6.7|13.3|13.3|0.0|0.0|0.0|0.0|0.0
085807f|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
0b6e276|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|100.0|18.8|100.0|93.8|100.0|100.0|100.0|6.2|12.5|18.8|18.8|0.0|0.0|100.0|0.0|6.2
0c0177b|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|100.0|31.2|31.2|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
0ea781c|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|100.0|18.8|0.0|0.0|0.0|0.0|25.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
100c476|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|25.0|0.0|6.2|0.0|6.2
10aeba6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.7|15.4|15.4|0.0|0.0|100.0|100.0|0.0|0.0|7.7|15.4|15.4|0.0|0.0|0.0|0.0|0.0
11c9833|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
12c8f8f|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|62.5|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
1881055|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
22b9653|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
2ca26c6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
2ddc563|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
2e5e810|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
2f1d47e|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
30e2302|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|31.2|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
3e049d7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
4080343|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
42c298b|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
4585568|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
